chain,asset,id,lpTokenSymbol,address,oftAddress
ethereum,USDC,1,S*USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc026395860db2d07ee33e05fe50ed7bd583189c7
ethereum,USDT,2,S*USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0x933597a323eb81cae705c5bc29985172fd5a3973
ethereum,ETH,13,S*ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x77b2043768d28e9c9ab44e1abfc95944bce57931
ethereum,METIS,17,S*METIS,0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,0xcdafb1b2db43f366e48e6f614b8dccbfeefeecd3
ethereum,mETH,22,S*mETH,0xd5f7838f5c461feff7fe49ea5ebaf7728bb0adfa,0x268ca24daeff1fac2ed883c598200ccbb79e931d
bsc,USDC,1,S*USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0x962bd449e630b0d928f308ce63f1a21f02576057
bsc,USDT,2,S*USDT,0x55d398326f99059ff775485246999027b3197955,0x138eb30f73bc423c6455c53df6d89cb01d9ebc63
avalanche,USDC,1,S*USDC,0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,0x5634c4a5fed09819e3c46d86a965dd9447d86e47
avalanche,USDT,2,S*USDT,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,0x12dc9256acc9895b076f6638d628382881e62cee
polygon,USDC,1,S*USDC,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,0x9aa02d4fae7f58b8e8f34c66e756cc734dac7fe4
polygon,USDT,2,S*USDT,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,0xd47b03ee6d86cf251ee7860fb2acf9f91b9fd4d7
arbitrum,USDC,1,S*USDC,0xaf88d065e77c8cc2239327c5edb3a432268e5831,0xe8cdf27acd73a434d661c84887215f7598e7d0d3
arbitrum,USDT,2,S*USDT,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,0xce8cca271ebc0533920c83d39f417ed6a0abb7d0
arbitrum,ETH,13,S*ETH,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xa45b5130f36cdca45667738e2a258ab09f4a5f7f
optimism,USDC,1,S*USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,0xce8cca271ebc0533920c83d39f417ed6a0abb7d0
optimism,USDT,2,S*USDT,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,0x19cfce47ed54a88614648dc3f19a5980097007dd
optimism,ETH,13,S*ETH,0x4200000000000000000000000000000000000006,0xe8cdf27acd73a434d661c84887215f7598e7d0d3
mantle,USDC,1,S*USDC,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0xac290ad4e0c891fdc295ca4f0a6214cf6dc6acdc
mantle,USDT,2,S*USDT,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0xb715b85682b731db9d5063187c450095c91c57fc
mantle,WETH,13,S*WETH,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,0x4c1d3fc3fc3c177c3b633427c2f769276c547463
mantle,mETH,22,S*mETH,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0xf7628d84a2bbd9bb9c8e686ac95bb5d55169f3f1
base,USDC,1,S*USDC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x27a16dc786820b16e5c9028b75b99f6f604b5d26
base,ETH,13,S*ETH,0x4200000000000000000000000000000000000006,0xdc181bd607330aeebef6ea62e03e5e1fb4b6f7c7
scroll,USDC.e,1,S*USDC.e,0x06efdbff2a14a7c8e15944d1f4a48f9f95f663a4,0x3fc69cc4a842838bcdc9499178740226062b14e4
scroll,ETH,13,S*ETH,0x5300000000000000000000000000000000000004,0xc2b638cb5042c1b3c5d5c969361fb50569840583
aurora,USDC,1,S*USDC,0x368ebb46aca6b8d0787c96b2b20bd3cc3f2c45f7,0x81f6138153d473e8c5ecebd3dc8cd4903506b075
sei,USDC,1,S*USDC,0x3894085ef7ff0f0aedf52e2a2704928d1ec074f1,0x45d417612e177672958dc0537c45a8f8d754ac2e
sei,USDT,2,S*USDT,0x0db9afb4c33be43a0a0e396fd1383b4ea97ab10a,0x0db9afb4c33be43a0a0e396fd1383b4ea97ab10a
sei,WETH,13,S*WETH,0x160345fc359604fc6e70e3c5facbde5f7a9342d8,0x5c386d85b1b82fd9db681b9176c8a4248bb6345b
core,USDC,1,S*USDC,0xa4151b2b3e269645181dccf2d426ce75fcbdeca9,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590
core,USDT,2,S*USDT,0x900101d06a7426441ae63e9ab3b9b0f63be145f1,0x45f1a95a4d3f3836523f5c83673c797f4d4d263b
gnosis,USDC,1,S*USDC,0x2a22f9c3b484c3629090feed35f17ff8f88f76f0,0xb1eead6959cb5bb9b20417d6689922523b2b86c3
gnosis,ETH,13,S*ETH,0x6a023ccd1ff6f2045c3309768ead9e68f978f6e1,0xe9aba835f813ca05e50a6c0ce65d0d74390f7de7
ink,USDC,1,S*USDC,0xf1815bd50389c46847f0bda824ec8da914045d14,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590
